id,num_reviews
1111930,292
1111940,352
1112100,45
1112580,57
1112620,147
1112690,51
1112830,468
1112890,4627
1113000,73340
1113010,434
1113030,303
1113120,14828
1113220,30
1113560,24246
1113570,1295
1113770,32
1113880,147
1114130,665
1114150,7984
1114220,3476
1114290,680
1114380,123
1114620,46
1114650,243
1114870,250
1114900,66
1114940,4657
1114950,172
1115050,2674
1115400,27
1115450,324
1115610,32
1115690,10619
1115780,1091
1116080,97
1116110,86
1116170,160
1116260,135
1116280,35
1116540,941
1116580,2386
1116880,1586
1117090,1688
1117160,551
1117420,38
1117670,127
1117930,64
1118070,142
1118110,172
1118240,4387
1118310,7122
1118380,498
1118410,74
1118740,48
1119600,857
1119700,2053
1119710,397
1119730,16960
1119840,691
1119980,5222
1120320,1755
1120400,148
1120420,34
1120480,1803
1120560,557
1120690,384
1120810,6461
1121140,96
1121200,53
1121270,27
1121300,83
1121320,44
1121420,996
1121550,32
1121590,210
1121640,5548
1121680,114
1121710,855
1121780,272
1122100,319
1122120,471
1122180,133
1122280,60
1122340,1829
1122360,57
1122680,1559
1122690,273
1122700,108
1122730,102
1122780,159
1122970,149
1123030,115
1123050,5364
1123080,35
1123190,85
1123230,35
1123310,58
1123450,3125
1123500,28
1123610,45
1123770,8145
1123830,2085
1124050,111
1124080,271
1124160,159
1124180,1789
1124260,1084
1124300,25961
1124560,161
1124600,45
1124940,109
1124990,54
1125110,240
1125240,1301
1125330,306
1125390,541
1125510,364
1125710,332
1125830,28
1125880,41
1125890,103
1125910,397
1126130,51
1126270,92
1126310,3548
1126320,7150
1126580,76
1126750,294
1126890,174
1127110,740
1127130,26
1127170,75
1127330,34
1127460,1652
1127470,191
1127500,20229
1127540,104
1127610,848
1127700,4259
1127840,1428
1127850,215
1127940,54
1127970,222
1128220,58
1128370,26
1128800,87
1128810,37138
1128860,5460
1128920,10841
1128960,50
1128970,27
1128980,97
1129190,11692
1129310,2070
1129540,7403
1129580,41471
1129730,62
1129920,542
1130410,3627
1130560,81
1130710,36
1130880,29
1131080,2366
1131140,98
1131190,1505
1131240,1034
1131410,53
1131530,39
1131550,250
1131620,1711
1131670,132
1131740,262
1131800,64
1131870,61
1131920,353
1131930,142
1132030,274
1132670,33
1132690,143
1132720,120
1132760,542
1132910,646
1132970,156
1132980,801
1133040,30
1133050,49
1133060,726
1133070,57
1133120,463
1133300,43
1133330,173
1133580,107
1133590,853
1133760,1983
1134020,60
1134100,3473
1134320,31
1134440,155
1134450,84
1134520,676
1134630,47
1134710,1867
1135070,29
1135090,76
1135180,57
1135230,5454
1135260,441
1135300,5180
1135440,266
1135690,32680
1135810,2645
1135830,928
1135910,796
1136020,157
1136330,236
1136370,4624
1136380,1443
1136910,28
1137040,33
1137110,67
1137160,57
1137300,3360
1137320,90
1137330,61
1137350,690
1137450,436
1137460,10661
1137750,1995
1137970,217
1138100,1500
1138210,37
1138440,116
1138640,636
1138650,156
1138660,5670
1138850,3583
1138960,103
1139160,142
1139280,60
1139310,86
1139470,79
1139480,49
1139760,31
1139800,1100
1139870,211
1139890,5974
1139900,19320
